ANNIO,SEMANA,MES_CALEND,UBIGEO,DEPARTAM,PROVINCIA,DISTRITO,Probables,Confirmados,Total
2000,19,MAYO,21208,ANCASH,HUAYLAS,SANTA CRUZ,2,0,2
2000,21,MAYO,21208,ANCASH,HUAYLAS,SANTA CRUZ,2,0,2
2000,22,MAYO,21208,ANCASH,HUAYLAS,SANTA CRUZ,1,0,1
2000,24,JUNIO,21208,ANCASH,HUAYLAS,SANTA CRUZ,3,0,3
2000,25,JUNIO,21208,ANCASH,HUAYLAS,SANTA CRUZ,1,0,1
2000,16,ABRIL,21209,ANCASH,HUAYLAS,SANTO TORIBIO,0,1,1
2000,19,MAYO,21209,ANCASH,HUAYLAS,SANTO TORIBIO,1,0,1
2000,1,ENERO,21210,ANCASH,HUAYLAS,YURACMARCA,9,0,9
2000,2,ENERO,21210,ANCASH,HUAYLAS,YURACMARCA,10,0,10
2000,3,ENERO,21210,ANCASH,HUAYLAS,YURACMARCA,6,0,6
2000,4,ENERO,21210,ANCASH,HUAYLAS,YURACMARCA,3,1,4
2000,5,ENERO,21210,ANCASH,HUAYLAS,YURACMARCA,6,0,6
2000,6,FEBRERO,21210,ANCASH,HUAYLAS,YURACMARCA,9,0,9
2000,7,FEBRERO,21210,ANCASH,HUAYLAS,YURACMARCA,2,1,3
2000,8,FEBRERO,21210,ANCASH,HUAYLAS,YURACMARCA,1,0,1
2000,9,FEBRERO,21210,ANCASH,HUAYLAS,YURACMARCA,7,0,7
2000,10,MARZO,21210,ANCASH,HUAYLAS,YURACMARCA,6,0,6
2000,11,MARZO,21210,ANCASH,HUAYLAS,YURACMARCA,3,0,3
2000,12,MARZO,21210,ANCASH,HUAYLAS,YURACMARCA,5,0,5
2000,13,MARZO,21210,ANCASH,HUAYLAS,YURACMARCA,3,0,3
2000,14,MARZO,21210,ANCASH,HUAYLAS,YURACMARCA,1,1,2
2000,15,ABRIL,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,17,ABRIL,21210,ANCASH,HUAYLAS,YURACMARCA,1,0,1
2000,18,ABRIL,21210,ANCASH,HUAYLAS,YURACMARCA,6,0,6
2000,19,MAYO,21210,ANCASH,HUAYLAS,YURACMARCA,10,1,11
2000,20,MAYO,21210,ANCASH,HUAYLAS,YURACMARCA,3,0,3
2000,22,MAYO,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,23,JUNIO,21210,ANCASH,HUAYLAS,YURACMARCA,6,0,6
2000,24,JUNIO,21210,ANCASH,HUAYLAS,YURACMARCA,3,1,4
2000,25,JUNIO,21210,ANCASH,HUAYLAS,YURACMARCA,3,2,5
2000,26,JUNIO,21210,ANCASH,HUAYLAS,YURACMARCA,5,0,5
2000,28,JULIO,21210,ANCASH,HUAYLAS,YURACMARCA,5,1,6
2000,29,JULIO,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,31,JULIO,21210,ANCASH,HUAYLAS,YURACMARCA,1,1,2
2000,33,AGOSTO,21210,ANCASH,HUAYLAS,YURACMARCA,4,0,4
2000,35,AGOSTO,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,38,SETIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,39,SETIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,2,1,3
2000,42,OCTUBRE,21210,ANCASH,HUAYLAS,YURACMARCA,1,0,1
2000,43,OCTUBRE,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,44,OCTUBRE,21210,ANCASH,HUAYLAS,YURACMARCA,1,0,1
2000,45,NOVIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,3,0,3
2000,46,NOVIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,47,NOVIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,2,0,2
2000,49,DICIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,0,1,1
2000,50,DICIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,3,1,4
2000,51,DICIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,3,0,3
2000,52,DICIEMBRE,21210,ANCASH,HUAYLAS,YURACMARCA,1,0,1
2000,11,MARZO,21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,0,1
2000,20,MAYO,21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,0,1
2000,35,AGOSTO,21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,0,1
2000,37,SETIEMBRE,21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,0,1
2000,38,SETIEMBRE,21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,0,1
2000,39,SETIEMBRE,21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,1,0,1
2000,4,ENERO,21304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,1,0,1
2000,22,MAYO,21304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,1,0,1
2000,6,FEBRERO,21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,1,0,1
2000,22,MAYO,21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,1,0,1
2000,44,OCTUBRE,21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,1,0,1
2000,3,ENERO,21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,4,0,4
2000,6,FEBRERO,21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,2,0,2
2000,9,FEBRERO,21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,1,0,1
2000,10,MARZO,21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,1,0,1
2000,13,MARZO,21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,1,0,1
2000,17,ABRIL,21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,1,0,1
